RESPAGE,LIFESAT,INFOSOU1,TRUMTVINFO,FATEINLF,BUSINRUS,BUSINTUR,BUSINGA,NEIGHBOR,USSRDISS,EUSUPP,EEUSUPNA,EEUNSUW,EEUSUPW,MAINFRN,MAINENEM,MAINMOD,PARTYSUPP,PARTYSUPF,WORKTYP,PERSINC,EDUYRS,RFAEDUC,RMOEDUC,RELGNEW,RELIMP,ECONSTN,MONYTOT
35.0,6.0,4.0,-4.0,5.0,1.0,1.0,-1.0,5.0,1.0,4.0,1.0,2.0,-7.0,2.0,5.0,6.0,-5.0,-5.0,-7.0,9.0,12.0,4.0,4.0,3.0,4.0,2.0,4.0
25.0,2.0,8.0,-4.0,5.0,1.0,1.0,0.0,5.0,2.0,4.0,4.0,-7.0,1.0,3.0,-5.0,3.0,301.0,-7.0,-7.0,-2.0,10.0,3.0,2.0,6.0,3.0,2.0,-2.0
22.0,10.0,2.0,-5.0,10.0,0.0,1.0,0.0,8.0,-1.0,3.0,1.0,2.0,-7.0,-1.0,5.0,1.0,301.0,-7.0,2.0,6.0,16.0,4.0,5.0,3.0,4.0,5.0,5.0
35.0,5.0,5.0,-1.0,5.0,1.0,1.0,1.0,8.0,-1.0,4.0,3.0,-7.0,-7.0,1.0,11.0,1.0,-5.0,-5.0,-7.0,-2.0,15.0,7.0,7.0,3.0,3.0,-2.0,-1.0
23.0,10.0,5.0,-4.0,10.0,1.0,1.0,1.0,8.0,1.0,5.0,1.0,9.0,-7.0,1.0,5.0,-1.0,311.0,-7.0,7.0,5.0,16.0,7.0,7.0,3.0,2.0,5.0,1.0
31.0,10.0,5.0,302.0,8.0,0.0,0.0,0.0,8.0,1.0,4.0,-1.0,-7.0,-7.0,3.0,5.0,6.0,302.0,-7.0,5.0,-2.0,13.0,5.0,5.0,6.0,4.0,3.0,5.0
33.0,3.0,8.0,305.0,-1.0,1.0,1.0,0.0,5.0,-1.0,-1.0,-1.0,-7.0,-7.0,-5.0,-1.0,-1.0,-5.0,-5.0,-7.0,-1.0,11.0,4.0,4.0,3.0,3.0,1.0,7.0
24.0,5.0,8.0,302.0,10.0,0.0,0.0,0.0,8.0,2.0,5.0,1.0,1.0,-7.0,1.0,5.0,1.0,301.0,-7.0,-7.0,6.0,12.0,4.0,4.0,3.0,4.0,1.0,5.0
26.0,5.0,5.0,-5.0,5.0,1.0,1.0,0.0,8.0,-1.0,4.0,1.0,1.0,-7.0,-1.0,11.0,1.0,-1.0,-1.0,-7.0,-2.0,15.0,7.0,7.0,3.0,3.0,-2.0,-2.0
35.0,-2.0,8.0,-1.0,-1.0,-1.0,-1.0,0.0,6.0,-1.0,3.0,3.0,-7.0,-7.0,-1.0,-5.0,-1.0,-1.0,-1.0,3.0,-1.0,12.0,-1.0,-1.0,3.0,3.0,3.0,-1.0
28.0,5.0,4.0,305.0,5.0,0.0,0.0,0.0,8.0,1.0,5.0,1.0,2.0,-7.0,-1.0,5.0,1.0,-5.0,-5.0,4.0,6.0,12.0,5.0,5.0,3.0,3.0,3.0,5.0
